"Gemeentecode","Gemeentenaam","Inwonertal","02-27-2020","02-28-2020","02-29-2020","03-01-2020","03-02-2020","03-03-2020","03-04-2020","03-05-2020","03-06-2020","03-07-2020","03-08-2020","03-09-2020","03-10-2020","03-11-2020","03-12-2020","03-13-2020","03-14-2020","03-15-2020","03-16-2020","03-17-2020","03-18-2020","03-19-2020","03-20-2020","03-21-2020","03-22-2020","03-23-2020","03-24-2020","03-25-2020","03-26-2020","03-27-2020","03-28-2020"
744,"Baarle-Nassau",6847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2
748,"Bergen op Zoom",66811,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,4,5,5,6,8,9,10,12,12,12,13,15,17
753,"Best",29821,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,4,5,6,6,8,11,14,14,17,19,21,23,23
755,"Boekel",10588,0,0,0,0,0,0,0,0,0,0,1,1,2,7,8,11,12,12,14,14,19,20,25,32,37,40,42,42,42,51,53
756,"Boxmeer",29065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,6,7,7,9,9,10,13,17
757,"Boxtel",30747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,5,6,6,11,12,12,15,15,19,22,24
758,"Breda",183873,0,0,0,0,0,0,0,0,2,2,16,19,27,32,42,53,64,71,86,96,105,113,121,133,140,161,167,181,201,215,227
762,"Deurne",32362,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,4,5,8,8,10,13,19,22,22,25,30,35,42,46
765,"Pekela",12214,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
766,"Dongen",26051,0,0,0,0,0,0,0,0,1,2,3,3,3,4,4,4,5,5,5,5,5,5,2,2,2,2,4,6,6,10,12
770,"Eersel",19110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4,6,7,9,10,13,13,14,15,17
772,"Eindhoven",231642,0,0,0,0,0,1,1,3,4,4,6,7,8,8,8,12,13,21,21,22,23,24,28,35,46,55,68,80,93,113,128
777,"Etten-Leur",43774,0,0,0,0,0,0,0,0,0,0,1,1,3,5,5,6,7,8,10,12,13,14,15,18,20,24,24,31,37,40,50
779,"Geertruidenberg",21515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,5,7,7,7,7,8,10,10,11,11,11,12
784,"Gilze en Rijen",26431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,5,7,7,12,13,16,18,19,22,25
785,"Goirle",23793,0,0,0,0,0,0,0,0,0,0,1,4,4,6,6,6,6,6,9,9,9,11,11,12,13,13,16,18,21,24,26
786,"Grave",12483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,10,11,11,11,14,16,19
788,"Haaren",14195,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,7,7,7,7,7,9,9,9,10,12,12,12,12,14,18,21
794,"Helmond",91524,0,0,0,0,1,4,4,4,4,4,5,7,11,12,14,16,17,17,17,19,20,22,26,32,38,49,55,63,66,75,91
796,"'s-Hertogenbosch",154205,0,0,0,0,0,0,0,0,0,2,2,3,4,5,8,11,14,14,20,24,30,35,38,45,55,60,67,75,87,108,117
797,"Heusden",44135,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,4,4,4,4,5,6,7,11,15,16,19,20,25,37,39
798,"Hilvarenbeek",15334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,4,4,4,4,4,5,6,7,8,10,10,10,12
809,"Loon op Zand",23327,1,1,3,3,4,5,5,6,8,7,7,7,7,7,6,7,7,7,7,8,9,11,13,14,16,17,20,20,21,25,29
815,"Mill en Sint Hubert",10891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,5,5,5,7,9
820,"Nuenen Gerwen en Nederwetten",23186,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,8,10,11,13
823,"Oirschot",18623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,4,6,8,10,11
824,"Oisterwijk",26140,0,0,0,0,0,0,0,1,1,3,3,3,3,4,5,6,6,6,9,10,10,10,12,15,16,16,16,18,21,23,24
826,"Oosterhout",55616,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,5,6,8,9,9,12,13,16,22,23,26,29,31,36
828,"Oss",91451,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,4,5,11,14,20,26,35,44,59,65,73,81,100,128,141
840,"Rucphen",22572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,6,6,6,6,6,6,10,10
845,"Sint-Michielsgestel",28991,0,0,0,0,0,0,0,1,2,3,5,5,5,5,5,5,6,6,8,8,10,10,12,12,14,14,17,18,22,28,29
847,"Someren",19322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,5,5,6,7,7,10,15,19,22
848,"Son en Breugel",16904,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,4,4,5,7,8,10,10,13,15,19,20,22
851,"Steenbergen",25054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,5,8,8,9,11,11,14,14
852,"Waterland",17315,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,4,7,7,8,8,9,10,11,11,11,11
855,"Tilburg",217259,0,0,0,1,1,1,3,4,4,10,12,27,29,42,50,67,68,68,84,88,95,119,133,154,178,193,211,224,230,254,284
856,"Uden",41782,0,0,0,0,0,0,1,1,2,6,7,12,13,18,21,25,28,33,43,49,53,60,71,76,82,84,92,94,107,123,130
858,"Valkenswaard",30910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,5,8,9,17,20,26
861,"Veldhoven",45337,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,5,9,11,11,14,18,22,22,24
865,"Vught",26396,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,6,7,8,8,11,15,17,19,22,25,29,31
866,"Waalre",17247,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,6,6,6
867,"Waalwijk",48240,0,0,0,0,0,0,0,3,3,3,5,5,5,6,6,9,8,8,10,11,12,13,15,16,22,24,29,34,39,46,54
873,"Woensdrecht",21866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,5,5,6
879,"Zundert",21612,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,4,6,6,7,7,7,9,11,14,15,17,23
880,"Wormerland",16329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,5,6,7
882,"Landgraaf",37591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,7,7,7,9,10,11,18,21,25,28,29
888,"Beek",15929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,5,5,5,5,9,13,13,13,14
889,"Beesel",13519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,6,7,8,11,13
893,"Bergen (L)",13140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2
899,"Brunssum",28103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,6,6,8,17,20,22,24,25
907,"Gennep",17071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,4,5,7,7,7,7,8,9,14
917,"Heerlen",86832,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,6,8,14,15,18,19,24,29,46,53,63,68,75
928,"Kerkrade",45642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,5,6,8,8,17,21,26,28,32
