GemeentecodeGM,Gemeentenaam,Grote gemeente,Inwonertal,Provincienaam,COVID 27-02,COVID 28-02,COVID 29-02,COVID 01-03,COVID 02-03,COVID 03-03,COVID 04-03,COVID 05-03,COVID 06-03,COVID 07-03,COVID 08-03,COVID 09-03,COVID 10-03,COVID 11-03,COVID 12-03,COVID 13-03,COVID 14-03,COVID 15-03,COVID 16-03,COVID 17-03,COVID 18-03,COVID 19-03,COVID 20-03,Aantal per 100.000 inwoners,Toename in 24 uur
GM1883,Sittard-Geleen,Nee,92661,Limburg,,,,,,,1,3,4,4,7,8,13,20,20,23,35,37,38,42,51,51,58,62.60,7
GM0855,Tilburg,Ja,217259,Noord-Brabant,,,,1,1,1,3,4,4,10,12,27,29,42,50,67,68,68,84,88,95,119,133,61.20,14
GM1723,Alphen-Chaam,Nee,10149,Noord-Brabant,,,,,,,,,,,,,,,,,1,1,2,3,6,6,6,59.10,0
GM1945,Berg en Dal,Nee,34798,Gelderland,,,,,,,,,,,,,1,3,3,5,6,6,10,14,14,18,20,57.50,2
GM0809,Loon op Zand,Nee,23327,Noord-Brabant,1,1,3,3,4,5,5,6,8,7,7,7,7,7,6,7,7,7,7,8,9,11,13,55.70,2
GM1954,Beekdaelen,Nee,35727,Limburg,,,,,,,,1,1,2,2,4,5,8,8,8,9,12,13,15,18,18,19,53.20,1
GM1719,Drimmelen,Nee,27150,Noord-Brabant,,,,,,,,,,,,,,1,3,5,5,5,7,11,12,13,13,47.90,0
GM0965,Simpelveld,Nee,10516,Limburg,,,,,,,,2,2,2,2,2,2,2,2,2,2,3,3,4,5,5,5,47.50,0
GM0785,Goirle,Nee,23793,Noord-Brabant,,,,,,,,,,,1,4,4,6,6,6,6,6,9,9,9,11,11,46.20,0
GM0935,Maastricht,Ja,121565,Limburg,,,,,,,,1,2,3,4,6,7,8,8,10,16,21,24,33,41,42,56,46.10,14
GM0824,Oisterwijk,Nee,26140,Noord-Brabant,,,,,,,,1,1,3,3,3,3,4,5,6,6,6,9,10,10,10,12,45.90,2
GM1640,Leudal,Nee,35681,Limburg,,,,,,,,,,,,1,2,3,4,4,6,6,7,8,11,13,16,44.80,3
GM0252,Heumen,Nee,16486,Gelderland,,,,,,,,,,,,,,,,,,2,2,3,5,6,7,42.50,1
